,year,race_num,asset_name,asset_type,price,points,team_key,is_drs
0,2026,1,VER,driver,27.7,50.0,RBR,yes
1,2026,1,BEA,driver,7.4,20.0,HAS,no
2,2026,1,LIN,driver,6.2,15.0,RB,no
3,2026,1,BOR,driver,6.4,13.0,AUD,no
4,2026,1,GAS,driver,12.0,11.0,ALP,no
5,2026,1,MER,constructor,29.3,96.0,MER,no
6,2026,1,RB,constructor,6.3,35.0,RB,no
7,2026,2,ANT,driver,23.5,68.0,MER,yes
8,2026,2,LEC,driver,23.1,51.0,FER,no
9,2026,2,LAW,driver,6.3,35.0,RB,no
10,2026,2,BEA,driver,8.0,34.0,HAS,no
11,2026,2,COL,driver,6.4,18.0,ALP,no
12,2026,2,FER,constructor,23.6,119.0,FER,no
13,2026,2,HAS,constructor,8.0,65.0,HAS,no
